voy_id,flow,area_no,size,planned_qty,snapshot_qty,new_qty,planning_time,status_name,objective_value
390121,OF,4B,20,153,0.0,153.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390121,OF,6E,20,2,2.0,0.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390121,OF,84,20,51,0.0,51.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390131,OF,11,20,65,0.0,65.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390131,OF,84,20,35,0.0,35.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390133,OF,20,20,17,0.0,17.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390122,IF,12,20,2,0.0,2.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390281,IF,35,20,2,1.0,1.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390281,T,8J,20,4,3.0,1.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390128,IF,12,20,10,0.0,10.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390128,IF,35,20,7,1.0,6.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390128,IF,57,20,4,4.0,0.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390128,IZ,35,20,20,0.0,20.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390128,OZ,35,20,30,0.0,30.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390128,OZ,70,20,10,0.0,10.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390128,T,57,20,5,5.0,0.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390128,T,70,20,5,0.0,5.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390161,IF,12,20,6,0.0,6.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390221,T,70,20,3,0.0,3.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390124,IF,12,20,19,0.0,19.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390124,IF,31,20,2,2.0,0.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390124,IF,35,20,1,0.0,1.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390124,IZ,31,20,1,1.0,0.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390124,IZ,35,20,19,0.0,19.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390124,OZ,35,20,20,0.0,20.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390124,OZ,8J,20,20,0.0,20.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390124,T,8J,20,192,0.0,192.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390301,IF,12,20,2,0.0,2.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390301,T,31,20,1,0.0,1.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390182,IF,8J,20,10,0.0,10.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390182,OZ,8J,20,5,0.0,5.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390182,T,8J,20,5,0.0,5.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
390121,OF,1A,40,4,0.0,4.0,2026-07-18T18:34:03.125935,OPTIMAL,0.002898920618247
