group_id,area,oracle_quantity,group_demand,oracle_group_quantity_fraction,oracle_group_area_count,in_feasibility_witness_support,feasibility_witness_quantity,in_stage1_best_support,stage1_best_quantity,stage1_pool_frequency,stage1_pool_quantity_mass,stage1_pool_first_solution_rank,pool_candidate_rank,metadata_candidate_rank,reachable_capacity,capacity_slack_vs_group_demand,compatible_bay_count,max_single_anchor_capacity,minimum_existing_proximity,minimum_berth_distance,stage1_coarse_flow_cost,cap_2_selected,cap_2_selection_channel,cap_2_coverage_reason,cap_2_pool_slots,cap_2_safety_reserve,cap_3_selected,cap_3_selection_channel,cap_3_coverage_reason,cap_3_pool_slots,cap_3_safety_reserve
390121_E001,50,18,18,1.0,1,False,0,False,0,0,0,,,10,104,86,8,26,0.0,0.000593941793704217,1.856068105325678e-07,False,,absent_from_stage1_pool_and_metadata_not_selected,1,1,False,,absent_from_stage1_pool_and_metadata_not_selected,2,1
390121_E002,21,23,23,1.0,1,False,0,False,0,0,0,,,15,57,34,6,17,0.0,0.04949514947535141,1.5467234211047318e-05,False,,absent_from_stage1_pool_and_metadata_not_selected,1,1,False,,absent_from_stage1_pool_and_metadata_not_selected,2,1
390121_E003,41,24,24,1.0,1,False,0,False,0,0,0,,,19,44,20,7,12,0.0,0.049891110671154225,1.5590972084735696e-05,False,,absent_from_stage1_pool_and_metadata_not_selected,1,1,False,,absent_from_stage1_pool_and_metadata_not_selected,2,1
390121_E004,21,22,22,1.0,1,False,0,False,0,0,0,,,15,57,35,6,17,0.0,0.04949514947535141,1.5467234211047318e-05,False,,absent_from_stage1_pool_and_metadata_not_selected,1,1,False,,absent_from_stage1_pool_and_metadata_not_selected,2,1
390121_E005,26,19,19,1.0,1,False,0,False,0,0,0,,,20,35,16,3,21,0.0,0.25737477727182734,8.042961789744604e-05,False,,absent_from_stage1_pool_and_metadata_not_selected,1,1,False,,absent_from_stage1_pool_and_metadata_not_selected,2,1
390121_E006,24,26,26,1.0,1,False,0,False,0,0,0,,,6,93,67,7,26,0.0,0.19798059790140565,6.186893684418927e-05,False,,absent_from_stage1_pool_and_metadata_not_selected,1,1,False,,absent_from_stage1_pool_and_metadata_not_selected,2,1
390121_E007,35,17,17,1.0,1,False,0,True,17,8,136,1,,,59,42,9,12,0.0,0.19817857849930706,6.193080578103346e-05,True,stage1_best,included_as_stage1_best,1,1,True,stage1_best,included_as_stage1_best,2,1
390121_E008,48,16,23,0.6956521739130435,2,False,0,False,0,0,0,,,30,17,-6,1,17,0.0,0.287467828152841,8.983369629776282e-05,False,,absent_from_stage1_pool_and_metadata_not_selected,1,1,False,,absent_from_stage1_pool_and_metadata_not_selected,2,1
390121_E008,50,7,23,0.30434782608695654,2,False,0,False,0,0,0,,,9,49,26,5,18,0.0,0.000593941793704217,1.856068105325678e-07,False,,absent_from_stage1_pool_and_metadata_not_selected,1,1,False,,absent_from_stage1_pool_and_metadata_not_selected,2,1
390121_E009,15,23,23,1.0,1,False,0,False,0,0,0,,,14,58,35,5,18,0.0,0.22756483864581273,7.111401207681649e-05,False,,absent_from_stage1_pool_and_metadata_not_selected,1,1,False,,absent_from_stage1_pool_and_metadata_not_selected,2,1
390121_E010,24,26,26,1.0,1,False,0,False,0,0,0,,,6,93,67,7,26,0.0,0.19798059790140565,6.186893684418927e-05,False,,absent_from_stage1_pool_and_metadata_not_selected,1,1,False,,absent_from_stage1_pool_and_metadata_not_selected,2,1
390121_E011,15,18,18,1.0,1,False,0,False,0,0,0,,,14,58,40,5,18,0.0,0.22756483864581273,7.111401207681649e-05,False,,absent_from_stage1_pool_and_metadata_not_selected,1,1,False,,absent_from_stage1_pool_and_metadata_not_selected,2,1
390121_E012,24,26,26,1.0,1,False,0,False,0,0,0,,,6,93,67,7,26,0.0,0.19798059790140565,6.186893684418927e-05,False,,absent_from_stage1_pool_and_metadata_not_selected,1,1,False,,absent_from_stage1_pool_and_metadata_not_selected,2,1
390131_E001,50,28,28,1.0,1,False,0,False,0,0,0,,,10,104,76,8,26,0.0,0.000593941793704217,1.856068105325678e-07,False,,absent_from_stage1_pool_and_metadata_not_selected,1,1,False,,absent_from_stage1_pool_and_metadata_not_selected,2,1
390131_E002,90,30,30,1.0,1,False,0,True,30,7,210,1,,,35,5,3,20,0.0,0.0013858641853098396,4.330825579093249e-07,True,stage1_best,included_as_stage1_best,1,1,True,stage1_best,included_as_stage1_best,2,1
390131_E003,20,15,27,0.5555555555555556,2,False,0,False,0,0,0,,,28,25,-2,3,15,0.0,0.0,0.0,False,,absent_from_stage1_pool_and_metadata_not_selected,1,1,False,,absent_from_stage1_pool_and_metadata_not_selected,2,1
